AVENIDA BRASIL	200	JD TEMPORIM	FERRAZ DE VASCONCELOS	SP	-23,5361307032	-46,3584690789	Via pública	7574
RUA JOAQUIM MEIRA DE SIQUEIRA	85	CIDADE LIDER	S.PAULO	SP	-23,5796448931	-46,4874477408	Outros	18439
ESTAÇÃO METRO PALMEIRAS - BARRA FUNDA	0	BARRA FUNDA	S.PAULO	SP	-23,525307127	-46,668191322	Terminal/Estação	5383
RUA MARTINS FONTES	81	REPUBLICA	S.PAULO	SP	-23,5488149243	-46,6438227849	Outros	37092
RUA SOLDADO JOAO SOARES PIMENTEL	30	SAPOPEMBA	S.PAULO	SP	-23,6147895546	-46,4978711222	Outros	13989
RUA BENITO MEANA	100	VILA MEDEIROS	S.PAULO	SP	-23,4908119532	-46,5658781693	Via pública	11910
RUA PROFESSOR JOSE LOURENCO	1260	PIRITUBA	S.PAULO	SP	-23,4646138468	-46,7143474825	Outros	24991
RUA IGUARA	657	VILA PRUDENTE	S.PAULO	SP	-23,5972494041	-46,5557322591	Via pública	20541
RUA DOZE DE OUTUBRO	132		S.PAULO	SP	-23,519635637	-46,7038716964	Outros	23934
RUA NATAL MINARELO	346	BOA VISTA	AMERICANA	SP	-22,742584402	-47,3023680902	Via pública	38100
ESTRADA DO PESSEGO	1685		S.PAULO	SP	-23,5647379149	-46,4464363922	Outros	34171
RUA SANTANA DE IPANEMA	1228	OCIAN	PRAIA GRANDE	SP	-24,0311935124	-46,4792036813	Via pública	25726
RUA ANTONIO NUNES DE AZEVEDO	40	CAPAO REDONDO	S.PAULO	SP	-23,6611620803	-46,7920954293	Via pública	20511
AVENIDA 2	1	ZONA CENTRAL	RIO CLARO	SP	-22,408449634	-47,55836019	Via pública	11820
RUA BOA VISTA	62	SE	S.PAULO	SP	-23,5458333547	-46,6336075185	Via pública	27639
AVENIDA GENERAL EDGAR FACO	720	PIRITUBA	S.PAULO	SP	-23,5010059965	-46,7066906441	Comércio e serviços	4038
RODOVIA ELIEZER M. MAGALHÃES (PONTE RIO	1	RURAL	S.ANTONIO DE ARACANGUA	SP	-20,9356420673	-50,4947189884	Rodovia/Estrada	28076
RUA DO LAVAPES	124	LIBERDADE	S.PAULO	SP	-23,5598101528	-46,6299852953	Via pública	37193
Avenida do Estado	3350	MOCCA	S.PAULO	SP	-23,547487774	-46,6252719376	Outros	7000
RUA FERDINANDO BIBIENA	290	ITAQUERA	S.PAULO	SP	-23,5336682358	-46,4663494597	Via pública	36841
AVENIDA SAO JOAO	1050		S.PAULO	SP	-23,5399505288	-46,6445661539	Outros	27272
RUA VALTER CARLOS ZANINI	409	ASSUNÇÃO	S.BERNARDO DO CAMPO	SP	-23,7221382756	-46,5664900038	Via pública	18085
AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PER	673		S.PAULO	SP	-23,6341687252	-46,6429181826	Outros	7837
RUA CAMPO REDONDO	0	BANANAL	GUARULHOS	SP	-23,405918949	-46,469404751	Via pública	2897
RUA VENTURA LADALARDO	50	VILA ANDRADE	S.PAULO	SP	-23,6283450693	-46,7187315976	Outros	27265
RUA VIRGINIA CARDOSO	110	SACOMA	S.PAULO	SP	-23,6105800403	-46,5993682315	Outros	28266
RUA DAS JUNTAS PROVISÓRIAS	1319		S.PAULO	SP	-23,598434177	-46,5973923998	Outros	6900
AVENIDA FRANCISCO DE SANTA MARIA	0	SAO MATEUS	S.PAULO	SP	-23,608253948	-46,472680652	Outros	30550
AVENIDA AIRTON SENNA	0	SANTA MARIA	OSASCO	SP	-23,58104625	-46,812262331	Via pública	1548
RUA PROFESSOR CARLOS LIEPIN	219	CENTRO	NOVA ODESSA	SP	-22,7841498568	-47,2951076438	Via pública	27808
RODOVIA CARVALHO PINTO	0		GUARAREMA	SP	-23,339297142	-46,101279575	Restaurante e afins	17851
RUA EXPEDITO DE OLIVEIRA SANTOS	579	JD SÃO LUIS	S.PAULO	SP	-23,6683456092	-46,7540703838	Via pública	3013
RUA FUED ZACARIAS CURY	0	RURAL	FRANCA	SP	-20,555784602	-47,397124222	Via pública	10829
RUA ANGELO BUNIOTO	39	SAPOPEMBA	S.PAULO	SP	-23,6078090668	-46,4876594543	Outros	33445
RUA DOUTOR OSWALDO MELLONE	100	JD SÃO LUIS	S.PAULO	SP	-23,646830677	-46,7546615524	Via pública	38777
AV. OTTO BAUMGART	308		S.PAULO	SP	-23,5160606547	-46,6162542804	Outros	31324
RUA ESPANHA	10	VILA BAZU	FRANCO DA ROCHA	SP	-23,3162458495	-46,7274173957	Via pública	5497
ESTRADA JUCA DE CARVALHO	14440	MIRANDA	S.JOSE DOS CAMPOS	SP	-23,149742627	-45,917222801	Via pública	8350
RUA DOUTOR LUÍS DE FARIA	0	GONZAGA	SANTOS	SP	-23,962732576	-46,335776073	Via pública	30328
RUA TERESA MARIA	190		CARAPICUIBA	SP	-23,533864803	-46,8400838012	Outros	27204
AVENIDA PRESIDENTE CASTELO BRANCO	3000		MAUA	SP	-23,6454626375	-46,4310875592	Outros	96
R. GILDO BEGOSSO	117		HORTOLANDIA	SP	-22,878443373	-47,17026685	Outros	19848
RUA SOLDADO JOÃO CARLOS DE OLIVEIRA	580	JD NELY	INDAIATUBA	SP	-23,09228254	-47,214950454	Via pública	32363
RUA MARQUÊS DE POMBAL	405	CAMPOS ELISEOS	RIBEIRAO PRETO	SP	-21,164473466	-47,8111051495	Comércio e serviços	37586
RUA CEARÁ	388		S.CAETANO DO SUL	SP	-23,6041905802	-46,5742596795	Outros	5294
RUA QUINZE DE NOVEMBRO	700	CENTRO	ASSIS	SP	-22,6636808457	-50,4148186033	Via pública	33099
RUA CONSELHEIRO CARRAO	451	BELA VISTA	S.PAULO	SP	-23,557848192	-46,6466584841	Via pública	30505
AVENIDA LICO MAIA	433	CONCEICAO	DIADEMA	SP	-23,7003670314	-46,614616271	Comércio e serviços	2287
RUA BOCAÍNA	100	CIDADE SÃO JORGE	S.ANDRE	SP	-23,6722856145	-46,4875372919	Comércio e serviços	11211
RUA TAGIPURU	694	BARRA FUNDA	S.PAULO	SP	-23,5274268756	-46,6684958016	Outros	17864
RUA DOUTOR JOAO PROCOPIO DE SOUZA	129	VILA ROMANA	S.PAULO	SP	-23,5021079203	-46,3904692162	Outros	20330
rua amadeu amaral	343	jardim veloso	OSASCO	SP	-23,563392215	-46,807078522	Outros	16523
AVENIDA DOUTOR ASSIS RIBEIRO	0	PENHA	S.PAULO	SP	-23,509785977	-46,550375507	Via pública	24693
AVENIDA SAO JOAO	0		S.PAULO	SP	-23,543615453	-46,638101839	Outros	5634
RUA CLOVIS DA SILVA PEREIRA	49	CAPAO REDONDO	S.PAULO	SP	-23,6724670352	-46,7693344164	Outros	6705
