13680	1	3
10852	1	3083
41153	1	3
3485	1	986
25339	1	3
44936	1	3
18440	1	3
33093	1	3
21233	1	6
45355	1	13639
7230	1	11
48211	1	3
9263	1	2609
23568	1	11
30765	1	15
27099	1	3
23477	1	6813
10828	1	4
175	1	3
27014	1	7913
6838	1	1964
6717	1	1923
1841	1	518
22603	1	3
15598	1	4
4034	1	3
49731	1	3
21292	1	3
48758	1	5
35809	1	3
8172	1	2324
15688	1	3
19085	1	3
18154	1	5208
25014	1	7300
13743	1	3
41894	1	11
27490	1	3
45467	1	15
42322	1	3
32376	1	9606
18719	1	3
15509	1	6
24737	1	3
36418	1	10851
45953	1	9800
1006	1	3
20689	1	3
23009	1	3
47505	1	3
7735	1	2215
19373	1	5572
35784	1	3
19403	1	3
44380	1	3
13554	1	3
44739	1	13444
33266	1	3
10450	1	11
37800	1	3
47451	1	14302
16784	1	3
7011	1	3
7096	1	3
22512	1	5
31155	1	9232
27343	1	3
5471	1	3
12720	1	3622
10576	1	3002
12684	1	3614
43688	1	6
39615	1	11880
33224	1	3
21178	1	6112
32920	1	3
34049	1	3
34752	1	15
27663	1	8107
38965	1	11681
5034	1	5
33921	1	3
45622	1	13719
26581	1	6
47798	1	15
3025	1	856
14678	1	4185
13987	1	3990
23396	1	3
48117	1	3
29302	1	3
8338	1	11
17180	1	4
15648	1	3
27675	1	15
5727	1	3
7754	1	5
10482	1	11
34955	1	3
16218	1	3
38060	1	3
29469	1	3
42285	1	11
33804	1	3
14589	1	3
29775	1	6
24027	1	3
29854	1	3
35973	1	3
2065	1	3
9075	1	3
32983	1	9803
24198	1	15
20423	1	3
30456	1	8993
45283	1	3
14482	1	3
14581	1	3
23287	1	3
4435	1	3
10938	1	15
34170	1	15
26368	1	7719
7338	1	3
8736	1	3
13113	1	3
12896	1	3
28478	1	15
30162	1	8887
48647	1	3
47361	1	15
25616	1	3
32364	1	3
46771	1	11
6100	1	3
41932	1	3
46801	1	6
23059	1	3
16225	1	3
48856	1	3
17427	1	3
2694	1	3
47262	1	3
21515	1	6201
41396	1	6
44409	1	5
44243	1	3
29402	1	3
32811	1	5
37151	1	3
26898	1	3
34567	1	6
42237	1	3
121	1	15
44234	1	3
44320	1	3
26605	1	7788
31425	1	15
22483	1	6510
11292	1	3
5787	1	3
48852	1	3
28176	1	3
8232	1	3
46314	1	3
27036	1	11
6317	1	1799
12086	1	4
17658	1	5043
33822	1	15
13016	1	3
49424	1	5
