29379	simples	365
48596	simples	565
29210	simples	362
8118	simples	116
9473	qualificado	135
28233	qualificado	349
10511	simples	148
34595	qualificado	413
33999	simples	406
42804	simples	401
4297	simples	60
44338	qualificado	528
42801	simples	509
34953	simples	49
41564	simples	497
2432	simples	33
27194	simples	337
24955	qualificado	313
21570	simples	284
48517	simples	496
37764	simples	452
2003	qualificado	30
3686	simples	50
45296	simples	536
11685	simples	166
46610	simples	482
41359	simples	493
10633	simples	154
538	simples	10
8353	qualificado	122
11447	simples	162
10791	simples	157
14296	simples	198
24202	simples	305
41338	qualificado	492
41537	simples	496
38545	simples	457
45516	qualificado	537
22989	simples	294
41969	simples	503
30488	qualificado	374
1301	simples	1
49178	qualificado	101
41170	simples	490
17884	simples	242
22397	simples	225
9080	qualificado	131
35514	qualificado	418
27001	simples	335
15986	simples	10
34581	simples	412
6825	simples	98
31142	simples	380
8314	simples	120
10857	simples	141
13701	simples	191
777	qualificado	14
38357	simples	395
36810	simples	439
40101	simples	475
26776	simples	332
7062	simples	104
38726	qualificado	204
45550	simples	540
17322	simples	235
27849	simples	13
812	simples	15
10609	simples	153
18312	simples	13
1421	qualificado	22
41122	simples	486
16240	qualificado	217
10565	simples	151
35587	simples	420
44689	simples	529
17101	qualificado	230
36354	simples	432
12511	simples	180
39278	simples	469
13819	simples	192
49654	qualificado	1
18195	simples	246
11676	simples	165
32327	simples	332
23865	simples	13
47525	simples	557
32928	qualificado	399
15829	simples	215
22349	simples	289
47195	simples	552
46325	simples	111
18156	qualificado	245
49373	simples	568
33513	simples	404
47575	qualificado	399
41790	simples	501
25322	simples	85
22073	simples	286
36623	simples	192
43423	simples	85
14311	simples	199
4287	simples	59
35500	simples	411
47850	simples	560
8689	simples	128
43885	simples	520
23791	simples	300
21453	simples	282
24790	simples	309
5316	simples	75
22445	qualificado	290
1865	simples	25
2468	simples	35
8473	qualificado	66
14737	simples	203
37549	qualificado	449
28666	simples	357
45588	simples	280
40786	simples	481
16709	simples	223
30722	qualificado	172
17276	qualificado	234
45082	simples	535
45578	simples	363
17481	simples	237
39276	simples	468
49412	simples	570
24711	simples	13
4868	simples	68
14516	simples	71
31313	simples	176
45898	simples	543
39861	simples	474
10249	simples	143
10279	simples	141
32130	qualificado	393
31831	qualificado	388
33359	simples	403
36156	simples	429
35936	simples	1
41135	qualificado	488
