2586	N	1
6487	N	1
9967	N	1
4900	N	1
42391	N	1
40781	N	1
37398	N	1
1103	N	1
6817	N	1
13636	N	1
46709	N	1
38583	N	1
36461	N	1
8357	N	1
7982	N	1
822	N	1
11532	N	1
26960	N	1
36401	N	1
6053	N	1
17272	S	233
1131	N	1
3893	N	1
376	N	1
27776	N	1
37381	N	1
28126	N	1
16142	N	1
22773	N	1
32763	N	1
48174	N	564
7822	N	1
32404	N	1
27514	N	1
49126	N	1
21467	N	1
11368	N	1
25790	N	1
37673	N	1
18908	N	1
27929	N	1
26975	N	1
3886	N	1
49285	N	1
21297	N	1
35158	N	1
38837	N	1
37101	N	1
3951	N	1
25650	N	1
20933	N	1
5911	N	1
8441	N	1
27033	N	1
37718	N	1
23188	N	1
49286	N	1
43484	N	1
18174	N	1
12027	N	1
10041	N	1
23052	N	1
25180	N	1
7232	N	1
9126	N	1
48420	N	1
33580	N	1
23848	N	1
15383	N	1
14535	N	1
9922	S	140
9687	N	1
12563	N	1
43562	N	1
776	N	1
4856	N	1
35496	N	1
22950	N	1
10850	N	1
10879	N	1
10878	N	1
19600	N	1
13886	N	1
14968	N	1
7173	N	1
5134	N	1
32839	N	1
34294	N	1
48522	N	1
3711	N	1
40804	N	1
46956	N	1
25171	N	1
34851	N	1
43058	N	1
1591	N	1
23120	N	1
41181	N	1
8235	N	1
7698	N	1
14119	N	1
24324	N	1
15454	N	1
24097	N	1
39864	N	1
27216	N	1
19715	N	1
34083	N	1
24195	N	1
29957	N	1
13146	N	1
2751	N	1
16044	N	1
11000	N	1
21449	N	1
3534	N	1
366	N	3
35046	S	1
13524	N	1
17585	N	1
8869	N	1
7422	N	1
24728	N	1
33928	N	1
36127	N	1
29396	N	1
39224	N	1
43267	N	1
549	N	1
5674	N	1
40736	N	1
890	N	1
10186	N	1
14067	N	1
